water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,ems_ahpnd_outbreak,disease_type,data_source
29.87,33.74,7.96,3.93,1.371,210.58,51.15,1000.67,8.61,1,1,1,165,Indonesia,Dry,5,2020,0.431,0.95,1,ems_ahpnd,simulated
31.02,11.65,7.4,5.96,1.568,494.06,22.92,4947.74,10.99,1,1,1,121,Malaysia,Wet,7,2022,0.326,1.0,1,ems_ahpnd,simulated
26.18,1.46,8.79,9.37,4.592,114.33,51.6,3745.38,4.6,1,1,1,65,Thailand,Dry,3,2022,0.569,0.56,1,ems_ahpnd,simulated
33.31,11.41,8.2,4.71,2.4,293.94,79.97,3629.68,13.59,0,0,1,131,India,Dry,2,2020,0.56,0.91,1,ems_ahpnd,simulated
34.04,10.74,6.17,6.95,2.359,272.56,51.93,2484.78,5.37,0,0,0,81,Indonesia,Dry,11,2020,0.585,0.86,1,ems_ahpnd,simulated
22.29,21.26,7.11,2.7,4.946,333.52,187.7,2882.05,26.93,1,0,1,140,Malaysia,Wet,10,2019,0.642,1.0,1,ems_ahpnd,simulated
28.19,18.85,6.64,9.99,1.47,249.41,97.0,3156.14,1.51,1,0,1,107,India,Wet,7,2021,0.307,1.0,1,ems_ahpnd,simulated
30.32,7.77,8.79,8.56,3.4,282.53,68.77,2638.4,15.17,1,0,1,115,Philippines,Dry,11,2020,0.596,1.0,1,ems_ahpnd,simulated
28.56,27.75,7.13,6.52,4.251,105.36,183.49,799.49,13.44,0,1,0,107,Malaysia,Wet,12,2022,0.511,0.93,1,ems_ahpnd,simulated
22.48,33.63,8.18,4.16,0.884,390.48,139.19,1341.25,7.54,1,1,1,56,Thailand,Wet,5,2018,0.406,0.8,1,ems_ahpnd,simulated
31.15,3.04,6.14,5.03,2.566,84.4,164.61,1991.96,22.16,1,0,1,94,Philippines,Wet,4,2018,0.677,1.0,1,ems_ahpnd,simulated
31.94,22.75,8.73,4.88,2.601,213.62,144.38,2143.73,2.6,1,1,0,173,Philippines,Dry,11,2023,0.665,1.0,1,ems_ahpnd,simulated
21.52,8.67,6.08,5.16,3.706,133.93,89.96,433.77,4.06,0,1,1,93,Malaysia,Dry,11,2018,0.731,0.46,0,ems_ahpnd,simulated
22.4,27.99,6.23,3.72,2.506,183.53,15.91,3173.2,7.21,0,1,0,85,Thailand,Dry,7,2019,0.699,0.38,0,ems_ahpnd,simulated
30.29,23.76,6.87,2.04,2.767,39.77,102.16,999.6,3.67,1,1,0,38,China,Dry,10,2019,0.678,1.0,1,ems_ahpnd,simulated
20.27,29.69,6.73,7.3,2.282,317.8,85.78,2918.95,20.68,0,0,0,178,Malaysia,Dry,7,2021,0.472,0.36,0,ems_ahpnd,simulated
32.64,30.93,8.46,3.39,1.47,154.45,55.31,4956.82,23.52,1,0,1,48,Indonesia,Wet,8,2023,0.544,1.0,1,ems_ahpnd,simulated
29.28,3.97,8.93,2.47,3.578,276.22,12.05,2464.9,15.99,0,0,1,43,Thailand,Dry,12,2023,0.823,0.88,1,ems_ahpnd,simulated
20.15,30.43,8.8,3.62,3.135,283.95,31.67,4203.14,5.03,1,0,0,125,China,Dry,5,2019,0.763,0.73,1,ems_ahpnd,simulated
28.2,4.86,8.21,4.8,3.557,192.19,78.58,3312.15,1.29,0,0,0,58,Thailand,Wet,10,2021,0.625,0.81,1,ems_ahpnd,simulated
24.35,18.52,8.72,3.72,4.453,247.05,15.05,3771.57,2.5,1,0,0,140,India,Wet,3,2023,0.746,0.98,1,ems_ahpnd,simulated
20.11,11.2,7.0,6.06,4.373,377.01,92.14,1245.92,0.47,0,0,1,51,India,Wet,11,2019,0.548,0.58,0,ems_ahpnd,simulated
24.24,23.58,7.08,3.58,3.042,140.51,24.11,3357.24,0.82,1,1,0,165,Indonesia,Wet,9,2019,0.617,0.65,1,ems_ahpnd,simulated
33.94,15.63,6.7,5.97,1.253,226.04,103.51,3695.8,16.77,0,0,1,130,Indonesia,Wet,6,2018,0.407,1.0,1,ems_ahpnd,simulated
23.48,11.47,8.69,2.67,4.514,220.93,96.37,3015.22,13.28,0,0,0,60,China,Dry,1,2019,0.776,0.63,1,ems_ahpnd,simulated
21.35,5.52,8.48,4.04,2.136,97.72,82.84,252.07,26.57,0,1,0,75,Indonesia,Dry,6,2021,0.599,0.41,1,ems_ahpnd,simulated
30.12,22.33,8.5,8.85,2.373,38.82,26.86,340.22,11.79,1,1,1,160,Philippines,Wet,11,2019,0.469,1.0,1,ems_ahpnd,simulated
22.45,33.44,8.38,8.64,2.239,330.12,14.8,3210.13,16.29,0,0,0,177,Thailand,Dry,5,2018,0.441,0.36,0,ems_ahpnd,simulated
25.03,14.24,8.39,5.22,2.195,451.06,121.05,1757.81,8.04,1,0,0,153,Thailand,Dry,8,2018,0.552,1.0,1,ems_ahpnd,simulated
24.97,32.62,7.45,9.58,3.792,20.06,178.02,3360.86,16.65,1,1,0,108,India,Dry,8,2021,0.356,0.73,1,ems_ahpnd,simulated
24.84,6.64,6.45,6.94,1.767,294.03,141.05,2707.37,15.72,1,0,1,158,India,Dry,3,2021,0.473,1.0,1,ems_ahpnd,simulated
33.15,6.66,7.89,4.72,2.363,342.23,13.02,3530.14,7.65,0,1,1,80,Malaysia,Wet,5,2021,0.504,0.83,1,ems_ahpnd,simulated
24.0,23.71,6.75,6.46,1.595,379.4,161.25,1799.34,21.3,0,1,1,133,Vietnam,Dry,4,2021,0.42,0.61,1,ems_ahpnd,simulated
34.71,7.9,6.7,4.49,0.015,195.21,40.03,4275.29,12.33,0,0,1,45,Thailand,Wet,3,2023,0.319,0.85,1,ems_ahpnd,simulated
25.98,6.87,8.65,9.88,0.885,436.83,50.24,939.5,26.06,1,0,0,79,Indonesia,Wet,5,2018,0.294,0.7,1,ems_ahpnd,simulated
25.46,27.97,6.35,9.26,3.262,153.24,61.47,1523.4,4.42,0,0,1,116,Indonesia,Wet,10,2020,0.55,0.51,1,ems_ahpnd,simulated
29.62,5.83,8.44,7.05,2.657,149.64,172.7,3864.55,11.36,0,1,0,71,Philippines,Dry,7,2018,0.55,1.0,1,ems_ahpnd,simulated
27.37,21.37,8.71,7.29,1.441,293.32,176.9,4954.42,5.21,1,0,1,84,Malaysia,Wet,11,2020,0.452,1.0,1,ems_ahpnd,simulated
21.77,8.4,6.01,5.72,4.048,130.55,196.5,3289.48,23.91,0,1,1,175,Vietnam,Dry,6,2018,0.724,0.76,0,ems_ahpnd,simulated
32.19,19.52,6.78,7.92,4.988,12.86,105.6,787.54,12.14,1,0,1,166,Malaysia,Wet,5,2019,0.523,1.0,1,ems_ahpnd,simulated
20.71,28.63,6.21,4.15,2.079,212.89,149.91,2992.66,3.43,0,1,1,92,Malaysia,Wet,10,2020,0.641,0.71,1,ems_ahpnd,simulated
32.18,27.96,8.39,6.15,2.455,477.88,129.48,1990.21,0.27,0,1,1,51,Indonesia,Dry,2,2018,0.549,0.96,1,ems_ahpnd,simulated
24.78,4.86,8.97,2.65,0.22,454.89,154.69,1017.51,29.49,0,1,0,64,Thailand,Dry,9,2018,0.514,0.52,1,ems_ahpnd,simulated
21.2,26.16,7.85,4.36,1.86,425.23,127.51,3838.01,18.54,1,1,0,38,Thailand,Dry,2,2020,0.453,0.73,1,ems_ahpnd,simulated
24.05,9.01,6.04,5.81,4.211,84.79,144.06,2712.97,12.69,1,1,0,162,Malaysia,Wet,10,2023,0.716,1.0,1,ems_ahpnd,simulated
28.99,15.99,6.97,5.76,2.184,447.7,180.56,3541.41,18.26,0,0,0,117,Indonesia,Wet,10,2021,0.472,1.0,1,ems_ahpnd,simulated
32.31,22.45,8.55,3.67,2.218,7.93,69.26,3166.1,1.21,0,1,0,111,Thailand,Wet,10,2019,0.632,0.83,1,ems_ahpnd,simulated
23.55,34.06,7.3,2.2,0.667,177.78,114.79,2108.09,18.98,1,1,0,137,Vietnam,Wet,11,2020,0.367,0.79,1,ems_ahpnd,simulated
33.76,0.6,7.46,8.76,3.986,43.54,26.83,1525.72,11.68,0,1,1,103,Thailand,Dry,5,2019,0.381,0.58,1,ems_ahpnd,simulated
24.4,17.56,8.95,6.85,1.171,202.64,55.68,871.64,8.29,0,1,1,114,Thailand,Wet,7,2023,0.477,0.56,0,ems_ahpnd,simulated
33.9,27.07,6.97,9.17,2.429,429.86,116.42,3772.47,21.8,0,1,0,73,Vietnam,Wet,9,2023,0.386,1.0,1,ems_ahpnd,simulated
26.29,27.76,8.54,2.41,3.298,402.72,156.84,4275.29,25.56,0,1,1,113,Vietnam,Dry,7,2022,0.76,0.73,1,ems_ahpnd,simulated
30.18,20.47,8.81,6.93,0.711,409.97,136.31,1763.15,1.14,0,0,1,52,Indonesia,Dry,5,2019,0.4,0.9,1,ems_ahpnd,simulated
28.46,11.2,8.67,3.77,3.474,170.35,144.36,1088.41,28.25,1,1,0,115,Vietnam,Wet,2,2021,0.736,1.0,1,ems_ahpnd,simulated
30.85,26.17,6.07,2.48,1.771,11.21,160.21,1102.02,26.55,0,0,1,164,India,Dry,3,2021,0.686,1.0,1,ems_ahpnd,simulated
29.76,31.57,8.99,9.14,0.943,109.26,106.44,1505.59,21.36,0,1,0,128,Thailand,Dry,12,2019,0.382,0.75,0,ems_ahpnd,simulated
23.47,17.66,7.12,4.25,2.646,150.68,89.73,4041.27,12.9,0,0,0,52,Vietnam,Wet,9,2022,0.549,0.53,1,ems_ahpnd,simulated
22.38,31.8,6.09,3.92,2.078,362.43,147.41,2124.66,28.19,1,1,0,136,Indonesia,Wet,5,2021,0.669,1.0,1,ems_ahpnd,simulated
24.48,21.61,6.17,4.0,4.814,55.41,72.86,4318.25,7.5,1,0,0,42,Vietnam,Wet,4,2022,0.755,0.71,1,ems_ahpnd,simulated
25.57,8.23,6.15,6.95,3.756,96.07,57.4,3298.73,26.36,0,1,0,109,Malaysia,Wet,12,2020,0.66,0.51,0,ems_ahpnd,simulated
26.97,5.01,6.75,5.46,4.001,211.29,83.25,1479.06,3.18,0,1,1,159,India,Wet,2,2019,0.61,0.56,0,ems_ahpnd,simulated
33.57,14.7,6.86,9.87,3.674,127.49,35.8,3516.59,25.06,1,0,0,74,Philippines,Wet,7,2018,0.444,1.0,1,ems_ahpnd,simulated
32.38,32.14,7.03,7.33,0.788,370.26,157.25,1870.0,18.6,1,1,0,71,Indonesia,Dry,5,2022,0.255,0.92,1,ems_ahpnd,simulated
31.5,21.09,6.25,7.36,4.136,294.73,192.56,4167.74,10.75,0,1,1,179,Thailand,Wet,7,2020,0.63,1.0,1,ems_ahpnd,simulated
24.4,10.45,6.75,4.57,1.191,292.09,15.73,455.5,11.11,1,0,1,156,Philippines,Wet,5,2020,0.438,0.91,1,ems_ahpnd,simulated
20.14,2.42,7.76,8.1,2.996,173.32,18.56,4477.12,9.04,1,0,0,138,India,Dry,6,2023,0.44,0.53,0,ems_ahpnd,simulated
31.14,31.77,8.09,2.46,3.456,333.02,97.67,4511.51,0.97,1,0,1,138,Thailand,Dry,7,2018,0.683,1.0,1,ems_ahpnd,simulated
29.95,0.44,7.46,6.94,4.009,372.88,83.21,1414.15,14.44,0,1,1,103,Malaysia,Dry,9,2023,0.442,0.58,0,ems_ahpnd,simulated
30.0,7.04,6.38,6.49,1.998,343.63,105.4,4610.09,28.78,0,1,1,163,Philippines,Dry,6,2020,0.526,1.0,1,ems_ahpnd,simulated
21.65,11.38,8.51,7.42,0.405,210.68,116.34,2953.11,9.05,0,0,1,91,India,Wet,11,2021,0.299,0.8,1,ems_ahpnd,simulated
28.53,12.97,6.36,5.31,4.318,35.88,49.34,1737.68,29.52,0,0,1,125,Thailand,Dry,7,2020,0.68,0.91,1,ems_ahpnd,simulated
21.01,4.5,8.85,7.13,2.148,283.75,170.68,4470.71,16.74,1,1,1,164,India,Wet,4,2023,0.559,0.96,1,ems_ahpnd,simulated
26.37,7.86,7.04,5.96,0.255,354.31,83.85,4387.76,29.68,0,1,0,138,Indonesia,Dry,1,2019,0.24,0.17,0,ems_ahpnd,simulated
22.01,9.85,7.76,7.75,0.05,243.93,48.72,628.8,18.18,1,0,1,34,China,Wet,6,2023,0.124,0.67,1,ems_ahpnd,simulated
25.82,14.7,6.45,3.54,2.066,174.15,99.39,3241.75,10.58,1,1,1,104,Vietnam,Wet,1,2018,0.62,0.93,1,ems_ahpnd,simulated
33.2,29.33,8.13,3.74,3.722,234.39,13.51,3786.75,9.26,0,1,1,127,Vietnam,Wet,11,2019,0.647,0.88,1,ems_ahpnd,simulated
31.81,29.37,6.24,6.45,3.453,75.62,193.41,4190.54,16.2,1,1,1,65,Malaysia,Dry,6,2022,0.662,1.0,1,ems_ahpnd,simulated
29.74,23.26,6.19,2.82,3.279,81.79,154.8,2386.5,23.86,0,0,1,138,India,Wet,7,2019,0.791,1.0,1,ems_ahpnd,simulated
34.08,10.63,6.53,2.59,1.231,207.07,171.32,2949.41,8.4,0,0,0,155,Philippines,Dry,3,2023,0.545,1.0,1,ems_ahpnd,simulated
