water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,ihhnv_outbreak,disease_type,data_source
33.28,15.12,6.27,6.35,0.156,412.64,44.98,1700.5,9.91,0,0,0,114,Philippines,Wet,8,2018,0.344,0.53,0,ihhnv,simulated
33.5,0.35,7.98,4.81,1.638,330.2,12.7,4442.7,22.49,1,0,0,113,Vietnam,Wet,4,2019,0.435,0.63,1,ihhnv,simulated
25.19,9.27,8.41,7.17,1.288,85.56,157.03,953.23,23.49,0,1,0,31,Vietnam,Wet,11,2022,0.389,0.58,0,ihhnv,simulated
23.04,24.23,6.65,7.03,1.194,69.83,103.35,2170.49,17.39,1,1,1,106,India,Dry,10,2018,0.373,1.0,1,ihhnv,simulated
27.7,4.24,6.09,7.94,4.547,360.58,12.53,3667.69,16.75,1,1,1,165,Indonesia,Wet,4,2019,0.637,0.73,1,ihhnv,simulated
29.76,25.52,7.05,8.21,2.562,109.55,17.48,441.95,2.21,0,0,0,132,China,Dry,7,2019,0.419,0.63,1,ihhnv,simulated
30.58,11.42,7.26,4.5,1.103,478.58,186.58,577.84,28.27,0,1,0,152,Philippines,Wet,11,2020,0.346,0.43,0,ihhnv,simulated
29.38,8.22,8.44,3.34,4.439,120.56,56.55,3344.38,3.77,1,0,0,142,China,Dry,3,2019,0.712,0.805,1,ihhnv,simulated
29.25,4.57,8.63,3.08,2.588,13.03,45.04,1581.89,0.42,1,1,0,47,Thailand,Dry,4,2022,0.707,0.705,1,ihhnv,simulated
32.73,9.26,6.03,8.23,2.877,175.99,98.89,4212.46,17.05,1,1,1,120,Philippines,Dry,2,2021,0.624,0.78,1,ihhnv,simulated
33.33,7.78,8.68,3.16,2.804,149.09,146.82,625.91,16.34,0,0,0,53,China,Dry,1,2019,0.736,0.605,0,ihhnv,simulated
29.7,10.13,8.76,6.97,1.877,94.94,152.89,3021.54,20.48,1,1,0,36,Vietnam,Dry,6,2021,0.52,0.83,1,ihhnv,simulated
20.3,24.32,6.98,5.14,1.059,255.72,92.14,2232.23,4.86,0,1,0,164,India,Wet,4,2020,0.366,0.63,1,ihhnv,simulated
23.68,12.27,8.93,6.93,0.66,244.01,54.89,271.41,17.6,1,1,0,77,Indonesia,Dry,11,2021,0.414,0.53,1,ihhnv,simulated
26.6,13.5,8.93,4.07,2.742,115.76,119.85,1443.9,26.19,0,1,1,130,Philippines,Wet,5,2018,0.741,0.63,1,ihhnv,simulated
32.54,1.02,6.7,6.22,2.358,280.51,40.73,3100.22,7.23,0,1,0,161,Philippines,Wet,9,2019,0.521,0.28,0,ihhnv,simulated
20.18,18.79,7.88,8.11,4.289,253.23,88.2,1186.54,0.24,1,0,0,68,China,Dry,5,2018,0.46,0.93,1,ihhnv,simulated
26.06,32.67,8.67,7.6,3.546,430.56,79.9,2880.4,12.16,1,0,0,64,Thailand,Wet,4,2018,0.608,0.98,1,ihhnv,simulated
30.91,25.42,7.64,8.94,2.738,139.73,160.05,3370.64,10.88,1,0,0,47,India,Dry,9,2021,0.363,1.0,1,ihhnv,simulated
25.14,13.63,8.05,9.77,4.303,71.41,140.16,2220.39,5.51,1,1,1,135,Thailand,Wet,8,2023,0.433,0.93,1,ihhnv,simulated
21.92,28.39,6.69,7.27,4.254,487.96,35.1,1474.7,20.66,1,1,0,149,Thailand,Wet,10,2022,0.559,0.73,1,ihhnv,simulated
33.15,9.74,6.3,3.79,1.133,28.03,144.21,1506.13,8.72,0,1,1,108,Thailand,Dry,3,2023,0.533,0.555,1,ihhnv,simulated
22.3,17.75,8.75,2.44,3.629,456.15,153.8,627.33,12.87,1,0,0,79,Vietnam,Wet,9,2023,0.794,1.0,1,ihhnv,simulated
29.32,21.95,7.53,2.13,3.868,267.75,170.32,583.66,15.75,1,1,1,97,Thailand,Dry,5,2019,0.601,1.0,1,ihhnv,simulated
22.62,5.06,7.23,9.63,2.122,310.07,57.44,2825.68,23.52,0,1,0,110,China,Dry,2,2023,0.293,0.28,0,ihhnv,simulated
26.46,18.1,6.43,8.39,3.298,203.28,71.39,3625.16,12.36,1,1,1,87,India,Wet,11,2023,0.565,1.0,1,ihhnv,simulated
25.01,25.33,8.78,9.14,4.542,385.02,127.87,2459.06,3.93,0,1,0,140,Vietnam,Dry,11,2021,0.575,0.78,1,ihhnv,simulated
