water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,imnv_outbreak,disease_type,data_source
23.8,14.14,8.09,9.16,1.825,397.34,97.3,3205.05,10.09,1,0,1,56,Indonesia,Dry,5,2020,0.329,0.89,1,imnv,simulated
24.87,0.11,8.51,2.55,4.447,168.21,52.68,313.65,17.74,0,0,0,153,Thailand,Dry,2,2020,0.75,0.53,0,imnv,simulated
33.94,25.12,8.94,5.44,3.403,102.32,30.83,1719.82,7.96,0,0,0,36,Malaysia,Wet,5,2020,0.725,0.59,1,imnv,simulated
23.85,16.95,7.37,2.78,2.201,126.49,85.3,1885.25,11.9,0,0,0,174,Thailand,Dry,8,2023,0.507,0.67,1,imnv,simulated
26.18,9.82,8.13,9.74,2.798,41.52,89.48,3646.59,14.06,0,0,1,107,Malaysia,Wet,5,2018,0.425,0.84,1,imnv,simulated
29.91,6.37,8.6,5.54,3.194,219.51,100.88,3700.46,18.24,0,1,0,128,Vietnam,Wet,8,2022,0.665,0.69,1,imnv,simulated
32.8,6.9,8.89,8.86,3.32,452.33,192.43,1563.22,0.42,1,1,0,136,India,Dry,9,2018,0.603,0.69,1,imnv,simulated
25.81,1.87,7.49,7.31,1.576,139.55,11.34,3829.05,4.92,1,1,1,174,Thailand,Dry,10,2019,0.266,0.53,1,imnv,simulated
20.34,16.5,6.23,9.47,1.499,207.6,16.39,4434.34,15.9,0,1,0,98,Malaysia,Dry,5,2018,0.396,0.29,1,imnv,simulated
25.61,3.74,8.84,9.13,4.326,269.96,186.14,4180.28,15.02,1,0,0,40,India,Wet,4,2021,0.586,0.99,1,imnv,simulated
20.95,3.08,6.21,9.82,2.999,415.21,128.65,3670.13,9.22,0,1,1,129,China,Dry,3,2021,0.554,0.44,0,imnv,simulated
21.47,13.29,7.56,9.41,3.236,368.81,161.82,2559.21,17.82,1,1,1,149,India,Dry,11,2022,0.363,0.73,1,imnv,simulated
20.38,28.34,6.52,3.4,3.776,376.64,126.05,2922.97,0.27,0,1,1,147,Thailand,Wet,4,2018,0.717,0.63,1,imnv,simulated
22.68,34.18,7.23,6.43,1.059,364.59,60.94,3711.46,8.75,1,0,0,161,Vietnam,Wet,9,2022,0.282,0.48,1,imnv,simulated
34.28,15.7,6.51,6.86,3.832,272.9,90.63,3464.97,27.54,0,1,1,138,Thailand,Wet,9,2022,0.603,0.79,1,imnv,simulated
22.17,10.05,7.8,8.85,0.095,384.19,138.23,444.52,19.27,0,1,1,93,Thailand,Dry,9,2022,0.099,0.41,1,imnv,simulated
23.65,31.48,8.59,6.81,2.025,150.45,95.91,3078.45,17.1,0,1,0,95,Philippines,Dry,2,2018,0.513,0.39,0,imnv,simulated
28.21,19.82,7.94,8.05,4.466,345.17,154.39,3780.97,22.81,1,1,0,175,Malaysia,Wet,11,2021,0.472,0.98,1,imnv,simulated
21.84,5.61,8.51,3.71,4.342,71.68,157.36,953.88,27.13,1,0,0,101,Thailand,Wet,10,2019,0.711,0.88,1,imnv,simulated
29.75,2.39,7.06,8.07,2.562,169.65,58.96,3658.91,9.19,1,1,0,158,Vietnam,Wet,1,2020,0.422,0.58,0,imnv,simulated
30.71,27.11,7.04,7.03,1.586,39.56,180.12,3266.14,14.48,0,0,1,59,Indonesia,Dry,11,2022,0.352,0.83,1,imnv,simulated
31.54,29.42,7.84,8.47,4.347,72.87,158.65,708.17,14.91,1,0,0,123,India,Wet,4,2020,0.441,0.83,0,imnv,simulated
27.01,15.44,8.22,9.22,3.414,338.89,167.43,2407.37,16.12,1,0,0,75,Philippines,Dry,12,2021,0.479,1.0,1,imnv,simulated
27.38,21.5,8.7,8.9,3.456,461.5,169.21,3356.52,10.72,0,0,1,142,China,Wet,6,2021,0.57,0.99,1,imnv,simulated
30.15,30.08,8.19,3.4,0.374,163.78,26.87,4752.79,16.09,0,0,1,40,Malaysia,Dry,12,2020,0.377,0.46,0,imnv,simulated
23.06,15.23,6.98,5.79,4.749,154.86,138.42,3039.38,12.16,1,1,1,59,India,Dry,5,2019,0.56,0.79,0,imnv,simulated
23.74,4.37,8.08,4.23,3.818,192.84,139.26,1910.82,22.07,1,1,1,170,Thailand,Dry,12,2020,0.622,0.64,1,imnv,simulated
27.88,23.67,7.88,5.91,4.007,190.89,177.58,2205.33,17.05,1,0,0,179,Indonesia,Wet,12,2019,0.533,1.0,1,imnv,simulated
29.29,32.97,7.27,2.85,2.414,116.23,120.26,190.77,6.87,1,0,0,49,Indonesia,Dry,1,2019,0.545,0.92,1,imnv,simulated
26.11,13.62,6.59,4.44,2.27,314.63,29.09,4764.74,1.46,1,0,1,100,China,Dry,5,2020,0.589,0.84,1,imnv,simulated
27.06,28.26,8.82,8.75,4.783,443.44,164.88,3247.65,2.27,0,1,0,34,China,Dry,3,2019,0.595,0.59,1,imnv,simulated
24.21,2.99,7.25,2.45,3.427,330.51,79.58,3093.56,13.77,1,1,0,41,Malaysia,Wet,5,2019,0.627,0.92,1,imnv,simulated
20.39,22.92,7.1,5.2,3.947,209.1,45.79,3828.5,25.38,1,1,0,91,India,Wet,1,2019,0.56,0.53,0,imnv,simulated
22.97,8.6,8.02,7.57,4.104,129.07,120.61,3968.6,17.17,0,0,1,165,Thailand,Wet,5,2018,0.501,0.64,0,imnv,simulated
23.52,34.75,6.58,7.67,1.459,219.31,115.12,4733.19,1.74,0,1,1,124,China,Dry,4,2022,0.393,0.44,0,imnv,simulated
26.19,4.54,7.67,9.82,2.709,13.82,74.51,214.49,6.36,1,0,1,124,Indonesia,Dry,5,2019,0.335,0.88,1,imnv,simulated
24.07,9.9,8.02,5.63,1.989,175.71,196.51,1552.26,27.72,0,1,0,130,Malaysia,Wet,12,2023,0.453,0.69,1,imnv,simulated
24.59,10.74,7.03,7.56,0.964,177.18,107.95,2838.81,10.66,1,0,1,102,China,Dry,10,2020,0.267,0.91,1,imnv,simulated
25.48,10.91,8.53,9.22,2.859,484.21,138.47,3684.23,0.29,0,1,1,137,Philippines,Wet,8,2018,0.515,0.89,1,imnv,simulated
23.45,23.08,7.45,5.74,2.362,149.24,44.98,3872.81,7.89,0,1,1,152,Indonesia,Wet,10,2019,0.413,0.38,0,imnv,simulated
34.2,18.25,7.19,9.35,2.604,286.01,151.54,483.18,1.87,0,1,0,93,Indonesia,Dry,6,2021,0.363,0.58,0,imnv,simulated
29.1,21.84,6.11,7.81,3.496,204.5,71.89,4579.09,18.31,1,1,1,56,Thailand,Wet,2,2022,0.638,1.0,1,imnv,simulated
32.14,0.46,8.15,7.61,4.367,408.18,168.32,1129.82,2.79,0,0,1,144,Malaysia,Dry,6,2018,0.521,0.64,1,imnv,simulated
25.07,20.0,8.32,6.47,0.563,421.88,116.32,3310.29,15.95,1,1,0,161,Indonesia,Dry,12,2022,0.317,0.82,1,imnv,simulated
25.92,16.66,7.21,3.0,1.887,488.09,85.76,1656.71,11.16,1,0,1,33,India,Dry,2,2021,0.491,1.0,1,imnv,simulated
30.54,18.06,6.65,8.73,2.248,182.15,18.18,4885.59,16.8,0,1,1,55,India,Dry,8,2018,0.434,0.54,1,imnv,simulated
31.72,4.39,7.01,7.08,0.641,95.2,120.52,1037.8,3.13,1,0,0,48,Malaysia,Wet,6,2021,0.25,0.71,0,imnv,simulated
34.52,33.8,8.61,2.38,0.148,4.08,153.26,4765.66,21.73,1,0,0,168,Vietnam,Dry,8,2020,0.455,0.76,1,imnv,simulated
20.12,16.86,6.99,9.59,2.731,80.79,136.73,2808.63,3.81,0,1,0,37,Philippines,Wet,10,2022,0.402,0.64,1,imnv,simulated
21.0,25.92,6.84,7.13,1.24,192.45,52.06,1523.61,7.83,0,1,0,80,China,Wet,7,2021,0.343,0.39,1,imnv,simulated
22.09,0.09,6.9,3.53,0.446,356.26,85.74,830.52,22.9,1,1,0,67,Indonesia,Wet,10,2023,0.365,0.66,1,imnv,simulated
22.35,26.37,6.83,6.99,0.887,305.74,179.63,1105.1,13.59,1,1,1,74,India,Wet,4,2020,0.311,0.77,1,imnv,simulated
32.65,11.37,6.19,6.7,4.199,169.26,188.39,3938.72,28.47,0,0,0,39,Vietnam,Dry,10,2023,0.662,0.74,0,imnv,simulated
25.08,13.71,6.22,6.56,4.04,270.85,145.85,1068.07,25.93,0,1,0,122,China,Dry,7,2020,0.661,0.74,0,imnv,simulated
20.61,12.14,6.26,3.83,2.525,324.86,81.79,518.67,28.42,1,1,0,81,Philippines,Wet,11,2019,0.693,0.93,1,imnv,simulated
28.53,33.29,6.24,2.86,0.315,441.85,32.01,4776.28,0.33,1,1,1,100,Vietnam,Wet,1,2019,0.483,0.66,0,imnv,simulated
31.44,13.61,6.18,9.39,3.684,260.12,86.59,1826.75,9.68,1,1,0,31,China,Wet,11,2021,0.574,0.94,1,imnv,simulated
34.73,12.89,6.01,9.37,2.558,285.5,179.2,1298.29,23.53,0,0,0,168,Thailand,Dry,2,2020,0.554,0.74,0,imnv,simulated
29.75,10.02,6.64,9.5,3.271,105.92,189.25,2988.23,23.14,1,0,1,71,China,Dry,10,2021,0.493,1.0,1,imnv,simulated
29.97,16.54,8.42,2.23,0.037,440.15,57.77,3281.67,1.49,1,0,1,168,Indonesia,Wet,1,2019,0.416,0.91,1,imnv,simulated
22.53,29.18,6.87,5.45,4.47,189.44,149.89,2335.66,12.0,0,1,1,83,Indonesia,Wet,10,2023,0.59,0.54,1,imnv,simulated
34.28,21.83,6.8,5.42,1.272,355.05,181.9,4408.19,29.2,1,1,1,41,India,Wet,5,2018,0.411,0.99,1,imnv,simulated
27.79,6.79,8.2,8.79,4.338,361.59,91.86,703.47,12.99,1,1,0,108,Vietnam,Dry,7,2021,0.49,0.79,1,imnv,simulated
34.11,8.35,7.82,2.42,2.712,327.06,29.28,1790.25,1.58,1,0,1,133,Indonesia,Wet,3,2020,0.607,0.72,1,imnv,simulated
22.68,2.28,7.17,6.19,3.319,435.85,185.95,920.01,8.55,1,1,0,41,Thailand,Dry,2,2022,0.515,0.53,1,imnv,simulated
27.87,2.72,6.48,6.75,3.57,389.15,24.42,1904.24,13.62,0,1,1,42,Philippines,Dry,11,2020,0.612,0.39,1,imnv,simulated
33.85,8.46,7.68,9.43,0.952,136.56,93.17,3775.24,13.29,1,0,0,102,Vietnam,Wet,11,2020,0.155,0.71,1,imnv,simulated
26.29,34.53,6.74,8.12,0.279,141.45,84.96,2070.85,28.81,1,0,0,91,Malaysia,Wet,7,2018,0.22,0.87,1,imnv,simulated
30.94,12.65,8.17,7.69,4.445,440.47,150.37,2681.01,11.95,1,1,0,178,Indonesia,Wet,11,2023,0.522,1.0,1,imnv,simulated
26.23,17.03,6.11,9.96,3.934,178.57,65.02,2975.79,6.13,0,1,1,174,Indonesia,Wet,9,2022,0.566,0.64,1,imnv,simulated
23.42,23.28,7.97,2.06,4.224,473.27,185.22,3926.84,18.55,1,0,1,103,Indonesia,Wet,4,2018,0.676,1.0,1,imnv,simulated
32.61,28.58,7.58,7.56,2.567,81.39,63.2,4887.0,2.94,0,0,1,120,Vietnam,Wet,9,2022,0.38,0.43,0,imnv,simulated
23.93,31.25,7.99,9.65,4.673,327.64,90.88,2537.69,24.21,1,0,0,68,China,Wet,6,2021,0.427,0.73,0,imnv,simulated
33.27,8.79,6.18,6.16,1.24,244.89,18.52,1273.65,26.13,0,0,0,115,China,Wet,2,2019,0.486,0.44,0,imnv,simulated
23.67,31.53,7.06,2.74,2.268,453.0,53.28,2698.66,24.55,1,1,0,55,India,Dry,6,2023,0.567,0.37,1,imnv,simulated
27.7,28.0,7.97,7.81,1.086,7.26,193.67,3186.87,17.37,0,0,1,127,China,Dry,2,2023,0.272,0.83,1,imnv,simulated
26.31,0.7,6.03,8.2,2.277,340.13,198.57,2760.56,22.79,1,1,1,39,Thailand,Dry,10,2023,0.558,0.84,1,imnv,simulated
21.83,5.61,8.14,8.81,2.925,365.65,123.91,3825.48,18.86,0,0,0,92,India,Dry,1,2019,0.471,0.49,0,imnv,simulated
29.11,18.03,8.3,6.16,2.199,149.76,59.35,200.11,10.1,0,0,1,143,Indonesia,Dry,9,2019,0.506,0.64,1,imnv,simulated
34.57,25.88,6.27,2.48,2.078,148.79,123.23,1567.83,19.36,1,0,1,150,Thailand,Wet,8,2018,0.687,1.0,1,imnv,simulated
33.98,2.98,7.82,5.79,3.406,250.46,27.59,475.73,0.5,1,0,1,163,Vietnam,Wet,6,2018,0.527,0.63,1,imnv,simulated
28.51,27.67,8.61,3.5,0.416,40.55,39.31,2635.86,29.89,0,1,1,112,China,Dry,2,2020,0.448,0.51,0,imnv,simulated
24.29,3.81,6.86,5.04,1.51,400.32,181.97,3234.7,24.22,0,0,0,85,China,Dry,9,2022,0.44,0.69,0,imnv,simulated
26.35,18.26,6.75,7.46,4.893,440.96,136.89,457.73,26.86,1,0,0,65,Vietnam,Dry,6,2021,0.543,1.0,1,imnv,simulated
21.15,21.17,7.05,6.92,4.961,134.81,11.65,876.5,29.63,0,0,1,146,Philippines,Wet,7,2023,0.511,0.48,1,imnv,simulated
20.67,10.65,8.41,5.56,4.736,49.41,91.66,4278.63,22.53,1,0,1,151,Malaysia,Dry,7,2021,0.633,0.89,1,imnv,simulated
28.9,20.9,6.29,5.41,2.892,186.42,142.06,4333.23,27.77,1,1,1,76,India,Dry,9,2020,0.676,0.99,1,imnv,simulated
32.21,27.4,8.67,6.42,3.667,50.61,116.71,3329.81,13.78,0,0,0,78,India,Dry,2,2019,0.648,0.74,1,imnv,simulated
32.24,27.99,7.53,2.86,2.157,268.12,19.76,4285.22,2.79,1,0,1,73,Philippines,Dry,12,2022,0.483,0.77,1,imnv,simulated
21.64,20.42,7.96,7.97,0.036,28.47,184.22,2912.05,21.29,0,1,1,142,Thailand,Dry,7,2023,0.148,0.41,0,imnv,simulated
27.75,28.1,7.7,9.19,1.07,102.82,43.23,470.16,14.28,1,1,1,100,Philippines,Wet,5,2022,0.179,0.63,1,imnv,simulated
23.72,27.59,7.8,7.27,4.27,329.67,26.59,2016.47,17.26,1,0,1,62,Vietnam,Dry,5,2020,0.474,0.58,1,imnv,simulated
22.49,27.95,7.05,9.04,2.077,95.57,19.89,1234.34,28.23,0,0,1,91,Indonesia,Wet,5,2022,0.338,0.48,1,imnv,simulated
22.51,11.82,7.7,2.37,2.876,63.74,24.83,147.85,21.03,0,0,0,146,India,Dry,2,2018,0.607,0.42,0,imnv,simulated
20.05,10.72,8.96,6.65,0.228,385.89,145.69,2780.91,13.1,0,0,0,49,Thailand,Wet,12,2020,0.38,0.62,0,imnv,simulated
33.09,8.06,8.21,9.3,0.752,266.6,106.04,342.93,20.48,1,1,1,90,India,Dry,7,2019,0.225,0.62,1,imnv,simulated
22.53,28.76,7.17,8.24,3.933,260.23,108.01,3255.04,12.26,0,0,1,126,Vietnam,Dry,7,2020,0.447,0.48,1,imnv,simulated
29.58,12.0,8.22,4.39,3.468,46.63,184.09,4329.19,10.59,1,0,1,126,Malaysia,Wet,3,2020,0.64,1.0,1,imnv,simulated
31.88,6.41,7.21,9.38,0.744,335.21,72.43,1904.24,8.47,0,0,0,114,India,Dry,1,2023,0.152,0.41,0,imnv,simulated
31.77,28.09,8.62,7.81,2.511,439.51,182.78,1144.7,21.77,1,1,0,133,China,Wet,2,2018,0.539,0.79,0,imnv,simulated
31.87,23.99,6.37,7.4,4.245,55.03,133.77,2860.06,8.98,1,0,1,83,China,Wet,8,2019,0.608,1.0,1,imnv,simulated
21.0,7.14,7.29,3.93,4.61,492.07,179.29,3058.98,25.11,0,1,1,178,Indonesia,Wet,7,2019,0.571,0.57,1,imnv,simulated
32.25,28.45,8.45,2.66,3.615,127.75,44.07,4888.0,20.15,1,1,1,47,Indonesia,Dry,3,2019,0.736,0.58,1,imnv,simulated
30.66,21.02,7.78,4.7,1.171,384.15,185.18,4654.08,3.96,0,1,0,169,Thailand,Wet,6,2020,0.353,0.78,1,imnv,simulated
20.03,3.47,6.2,3.77,3.088,327.47,19.68,2999.07,16.77,1,1,0,56,India,Dry,3,2018,0.758,0.43,0,imnv,simulated
21.62,9.54,8.78,2.09,4.812,415.54,57.67,109.76,19.19,0,0,0,70,Indonesia,Wet,2,2019,0.81,0.43,0,imnv,simulated
22.16,0.13,6.48,6.81,0.01,412.99,105.86,633.42,22.17,1,1,1,65,Vietnam,Wet,10,2018,0.277,0.62,0,imnv,simulated
28.32,11.59,8.02,2.82,3.413,18.92,195.23,162.33,8.71,0,1,0,147,Philippines,Wet,8,2020,0.659,0.93,1,imnv,simulated
33.26,2.32,7.13,6.3,0.836,397.91,63.43,3815.4,22.84,0,0,0,163,Vietnam,Wet,4,2019,0.278,0.26,0,imnv,simulated
