water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,wssv_outbreak,disease_type,data_source,ems_ahpnd_outbreak,ihhnv_outbreak,yhv_outbreak,imnv_outbreak
23.14,28.94,7.51,2.5,2.859,93.84,67.84,4717.35,26.85,0,0,0,92,Malaysia,Dry,9,2023,0.569,0.36,0.0,wssv,simulated,,,,
32.38,32.65,8.12,9.51,2.079,60.59,88.61,803.3,29.32,0,0,1,163,Malaysia,Dry,5,2021,0.351,0.78,0.0,wssv,simulated,,,,
28.37,4.39,6.92,2.63,4.528,442.62,31.99,1883.5,14.56,1,1,1,144,Vietnam,Wet,3,2020,0.676,1.0,1.0,wssv,simulated,,,,
31.14,15.54,7.48,4.68,1.916,383.86,166.81,992.68,28.87,0,1,1,134,Malaysia,Dry,3,2023,0.394,0.97,1.0,wssv,simulated,,,,
22.96,23.93,7.71,6.97,0.496,52.66,11.25,1938.56,19.99,1,1,1,162,Philippines,Dry,6,2023,0.191,0.7,0.0,wssv,simulated,,,,
32.97,25.98,8.13,7.42,0.441,286.36,169.42,3300.6,26.73,1,1,1,163,Philippines,Wet,9,2022,0.24,1.0,1.0,wssv,simulated,,,,
30.31,22.41,8.56,8.29,0.854,163.06,22.66,4054.73,5.91,0,0,1,30,Malaysia,Wet,10,2022,0.329,0.91,1.0,wssv,simulated,,,,
33.24,0.28,7.02,4.35,1.651,295.78,21.45,3106.16,17.86,1,1,0,164,Philippines,Dry,12,2019,0.452,0.72,1.0,wssv,simulated,,,,
32.37,31.8,6.77,7.23,1.028,93.02,137.94,4019.3,26.72,0,1,0,118,Malaysia,Wet,9,2021,0.328,0.78,0.0,wssv,simulated,,,,
25.73,12.77,8.64,4.23,4.079,219.33,190.24,4946.2,9.44,0,1,0,54,Philippines,Dry,9,2018,0.716,0.98,1.0,wssv,simulated,,,,
31.49,7.41,6.13,7.94,4.783,373.17,195.97,2812.55,21.44,0,1,1,80,India,Wet,1,2022,0.63,0.98,1.0,wssv,simulated,,,,
26.49,31.37,7.47,9.72,0.937,324.77,67.26,2482.05,11.16,0,0,0,96,India,Dry,1,2021,0.118,0.45,0.0,wssv,simulated,,,,
33.97,12.9,6.57,9.15,0.699,364.54,137.23,696.45,16.85,0,0,1,66,China,Dry,7,2023,0.261,0.86,1.0,wssv,simulated,,,,
34.36,1.73,6.61,7.93,3.972,231.96,12.89,4209.63,1.65,1,1,1,98,Philippines,Wet,4,2021,0.551,0.98,1.0,wssv,simulated,,,,
23.52,10.52,7.28,3.21,3.466,416.44,107.93,636.35,25.21,0,0,1,35,India,Wet,7,2020,0.596,1.0,1.0,wssv,simulated,,,,
22.1,5.79,8.12,3.77,4.788,481.21,21.21,4386.96,4.26,0,1,1,149,Vietnam,Dry,4,2023,0.644,0.37,0.0,wssv,simulated,,,,
20.72,31.45,7.41,4.92,0.398,462.37,25.29,1822.91,18.56,0,1,0,60,China,Wet,4,2019,0.229,0.2,1.0,wssv,simulated,,,,
27.22,5.51,6.87,3.7,2.513,380.77,39.92,996.53,28.07,1,1,1,109,Malaysia,Dry,9,2023,0.594,1.0,1.0,wssv,simulated,,,,
21.83,26.36,7.34,6.63,3.859,304.56,186.62,2696.15,9.67,0,0,1,59,Malaysia,Dry,3,2019,0.472,0.57,0.0,wssv,simulated,,,,
26.5,18.26,6.35,9.9,2.898,393.7,140.71,3633.41,13.51,0,0,0,179,Thailand,Dry,1,2022,0.517,1.0,1.0,wssv,simulated,,,,
28.01,3.49,7.98,7.46,3.269,419.08,175.99,3720.23,13.61,0,0,0,117,China,Wet,6,2021,0.498,0.97,1.0,wssv,simulated,,,,
27.81,16.17,7.94,9.09,3.486,254.14,176.8,799.21,18.04,1,1,0,57,Vietnam,Wet,1,2020,0.437,1.0,1.0,wssv,simulated,,,,
28.66,28.4,7.7,7.76,1.973,418.59,150.14,3390.31,21.23,1,0,0,71,Malaysia,Wet,1,2018,0.327,1.0,1.0,wssv,simulated,,,,
23.68,26.34,7.22,3.47,3.846,217.84,151.24,4237.24,13.94,1,0,0,103,Vietnam,Wet,11,2021,0.598,1.0,1.0,wssv,simulated,,,,
24.62,20.46,8.56,8.3,1.23,332.84,153.66,3753.64,21.33,1,0,1,163,Vietnam,Dry,11,2019,0.37,1.0,1.0,wssv,simulated,,,,
31.68,22.25,7.98,8.51,1.947,157.02,176.77,2758.88,8.89,0,0,0,175,Vietnam,Dry,10,2022,0.346,1.0,1.0,wssv,simulated,,,,
21.27,32.85,7.2,5.19,2.566,217.5,176.74,4253.3,22.58,0,0,1,165,Philippines,Dry,7,2023,0.495,0.57,0.0,wssv,simulated,,,,
22.41,15.12,6.5,2.27,0.553,387.68,58.13,855.87,17.9,0,0,0,167,Philippines,Dry,8,2019,0.486,0.5,0.0,wssv,simulated,,,,
23.43,9.58,7.6,7.11,4.741,299.21,120.54,1475.43,7.05,1,0,1,159,Vietnam,Dry,2,2018,0.446,0.97,1.0,wssv,simulated,,,,
27.75,5.03,6.92,3.63,0.201,383.85,197.24,2653.69,23.43,1,0,0,174,Thailand,Dry,9,2023,0.331,1.0,1.0,wssv,simulated,,,,
26.46,8.01,8.02,6.49,2.593,213.44,48.16,864.16,15.57,1,0,1,65,Philippines,Dry,8,2023,0.492,1.0,1.0,wssv,simulated,,,,
31.35,15.09,8.31,8.37,2.473,68.18,56.05,2743.95,2.47,0,1,1,94,Philippines,Dry,12,2021,0.464,0.78,1.0,wssv,simulated,,,,
27.1,13.65,6.64,3.39,4.146,358.37,138.7,4810.82,20.76,0,1,0,133,Vietnam,Wet,12,2020,0.697,1.0,1.0,wssv,simulated,,,,
23.57,9.37,8.3,9.21,0.436,327.41,68.11,2308.85,24.8,0,1,1,168,Vietnam,Wet,11,2020,0.208,0.31,1.0,wssv,simulated,,,,
32.83,16.56,6.26,2.26,3.063,457.21,29.86,2545.19,23.07,0,0,1,180,Thailand,Dry,1,2021,0.798,0.82,1.0,wssv,simulated,,,,
33.29,8.18,7.02,8.9,1.629,193.06,174.78,657.9,17.88,1,0,0,61,Thailand,Wet,4,2021,0.298,1.0,1.0,wssv,simulated,,,,
27.29,2.37,7.82,6.04,1.59,172.03,128.23,1912.04,6.91,1,1,0,120,China,Dry,2,2021,0.362,1.0,1.0,wssv,simulated,,,,
30.16,12.6,6.32,4.33,0.763,265.68,97.14,3359.57,16.18,1,1,0,64,Indonesia,Wet,2,2020,0.47,1.0,1.0,wssv,simulated,,,,
27.73,29.13,7.85,2.34,2.92,211.65,73.83,1714.2,5.15,0,0,0,179,China,Wet,10,2023,0.638,0.81,0.0,wssv,simulated,,,,
34.28,22.94,8.85,7.67,2.802,286.43,143.25,4861.28,28.2,1,1,1,85,China,Wet,2,2023,0.614,1.0,1.0,wssv,simulated,,,,
26.45,22.1,8.51,9.76,1.375,184.27,171.53,3196.37,8.21,1,0,1,140,China,Dry,4,2019,0.329,1.0,1.0,wssv,simulated,,,,
29.69,16.34,7.91,4.98,3.572,376.19,141.71,4572.79,21.81,0,1,0,56,Vietnam,Dry,2,2018,0.569,0.92,1.0,wssv,simulated,,,,
26.41,19.85,7.93,5.13,3.469,319.12,193.95,2493.81,28.77,1,1,0,89,India,Wet,9,2022,0.567,1.0,1.0,wssv,simulated,,,,
33.22,34.99,7.45,5.06,1.631,90.13,42.88,2768.23,20.22,1,1,1,86,Thailand,Dry,8,2021,0.354,0.77,1.0,wssv,simulated,,,,
30.72,30.17,8.18,3.22,0.393,203.33,81.31,4737.8,8.93,1,0,1,115,Philippines,Dry,3,2022,0.383,1.0,1.0,wssv,simulated,,,,
29.32,20.42,8.91,4.71,3.422,71.51,67.85,4952.3,12.34,1,0,0,87,Malaysia,Wet,5,2018,0.745,1.0,1.0,wssv,simulated,,,,
34.47,2.69,6.2,6.89,0.032,139.25,96.95,3116.46,8.65,1,1,1,175,Vietnam,Dry,4,2022,0.324,0.96,1.0,wssv,simulated,,,,
29.06,7.8,6.79,8.4,4.152,214.45,199.28,2050.28,20.4,0,0,1,120,Thailand,Wet,9,2020,0.505,1.0,1.0,wssv,simulated,,,,
22.71,5.28,7.35,6.12,2.185,97.27,186.03,2543.68,24.08,1,0,0,138,India,Dry,5,2019,0.397,0.92,0.0,wssv,simulated,,,,
29.65,9.76,6.72,5.34,3.639,112.76,139.42,2537.22,0.71,0,1,0,130,Thailand,Dry,12,2020,0.619,0.78,0.0,wssv,simulated,,,,
29.36,17.02,8.14,8.69,0.584,166.75,102.55,4355.32,12.87,0,1,0,80,India,Dry,1,2021,0.215,0.86,1.0,wssv,simulated,,,,
22.18,10.25,7.45,7.75,1.269,398.16,155.59,3008.28,15.0,0,1,1,90,India,Wet,12,2023,0.224,0.82,1.0,wssv,simulated,,,,
26.96,0.97,7.31,3.26,3.858,389.15,22.28,1476.87,28.63,0,1,0,119,India,Dry,3,2021,0.59,0.56,1.0,wssv,simulated,,,,
28.7,5.59,8.08,8.81,2.773,288.63,69.41,4221.07,17.43,1,1,0,138,Thailand,Dry,6,2021,0.444,0.93,1.0,wssv,simulated,,,,
32.12,24.29,7.11,9.06,2.186,185.29,81.41,2067.05,8.33,1,1,0,160,Indonesia,Dry,7,2021,0.339,1.0,1.0,wssv,simulated,,,,
27.93,29.29,7.37,3.02,2.989,331.78,42.79,3235.83,4.97,0,0,0,52,India,Wet,12,2021,0.586,0.81,1.0,wssv,simulated,,,,
32.75,22.88,8.49,2.8,4.292,264.75,11.81,1444.98,20.63,1,1,0,79,Philippines,Wet,8,2021,0.738,1.0,1.0,wssv,simulated,,,,
34.3,18.68,6.06,4.9,3.45,176.26,101.82,2652.61,10.0,0,1,1,176,Vietnam,Dry,9,2019,0.743,0.88,1.0,wssv,simulated,,,,
23.7,24.35,8.0,2.49,1.504,261.66,164.61,4636.63,20.38,0,1,0,42,China,Wet,10,2018,0.501,0.86,1.0,wssv,simulated,,,,
26.08,12.29,7.87,4.9,0.362,183.99,184.66,3160.29,16.58,1,1,1,50,Indonesia,Wet,5,2022,0.272,1.0,1.0,wssv,simulated,,,,
25.27,1.87,7.67,7.62,1.573,95.69,144.91,4243.95,13.89,1,0,1,79,Vietnam,Wet,5,2020,0.282,1.0,1.0,wssv,simulated,,,,
26.45,21.5,6.57,3.07,3.185,162.77,36.82,3749.33,16.5,1,1,1,88,Indonesia,Wet,10,2023,0.719,1.0,1.0,wssv,simulated,,,,
33.99,27.0,8.73,7.88,1.13,239.8,95.88,287.13,1.75,0,1,1,178,Malaysia,Wet,10,2020,0.401,0.83,1.0,wssv,simulated,,,,
31.84,2.38,7.09,4.1,1.068,219.83,33.76,2345.1,1.57,1,1,0,113,China,Wet,8,2021,0.384,1.0,1.0,wssv,simulated,,,,
31.74,20.76,8.33,5.81,0.352,319.2,181.21,220.58,8.79,0,0,1,119,Malaysia,Wet,12,2022,0.317,1.0,1.0,wssv,simulated,,,,
21.65,26.58,6.12,2.53,4.738,474.74,80.48,1108.99,22.87,1,1,0,127,India,Wet,2,2021,0.812,1.0,1.0,wssv,simulated,,,,
28.2,34.73,7.38,8.49,4.347,77.1,139.79,1949.85,28.41,1,0,1,156,Thailand,Dry,11,2019,0.404,1.0,1.0,wssv,simulated,,,,
25.55,5.26,7.94,6.91,0.523,147.91,18.55,3294.86,10.99,1,0,1,162,Malaysia,Wet,12,2020,0.234,1.0,1.0,wssv,simulated,,,,
33.11,7.75,6.37,7.8,2.166,425.81,11.13,3328.2,5.86,0,1,0,132,Philippines,Wet,5,2021,0.502,0.53,1.0,wssv,simulated,,,,
26.4,29.65,7.28,3.55,0.872,402.89,113.92,2982.83,12.18,0,1,1,97,Thailand,Dry,12,2021,0.349,0.74,1.0,wssv,simulated,,,,
30.65,29.45,6.27,2.93,0.653,341.39,126.06,1167.54,0.45,1,1,1,142,India,Wet,10,2019,0.513,1.0,1.0,wssv,simulated,,,,
27.66,3.38,6.23,2.11,3.2,376.41,165.65,4008.18,25.02,1,1,1,81,India,Dry,6,2019,0.808,1.0,1.0,wssv,simulated,,,,
22.6,13.72,6.43,2.25,3.779,280.08,43.13,127.53,25.57,0,1,0,151,India,Dry,7,2021,0.77,0.52,0.0,wssv,simulated,,,,
25.29,17.25,6.34,4.37,3.414,89.73,99.31,3287.21,10.2,1,0,0,131,Thailand,Dry,8,2020,0.714,1.0,1.0,wssv,simulated,,,,
26.22,17.2,6.87,8.76,0.683,94.4,129.39,3907.18,16.14,1,0,1,156,China,Dry,4,2023,0.222,1.0,1.0,wssv,simulated,,,,
30.78,29.39,7.81,3.68,0.388,291.11,198.67,826.22,26.9,0,1,1,131,Malaysia,Dry,7,2019,0.305,0.74,1.0,wssv,simulated,,,,
33.86,27.56,8.42,8.05,2.027,389.26,84.4,4840.22,1.46,1,1,1,110,Philippines,Dry,6,2021,0.444,1.0,1.0,wssv,simulated,,,,
25.02,27.94,6.34,6.94,4.67,156.03,192.96,2415.76,13.76,0,1,1,149,Vietnam,Dry,9,2022,0.629,0.83,1.0,wssv,simulated,,,,
20.41,2.35,6.4,9.94,0.628,482.49,193.0,4074.36,15.73,1,1,1,98,Malaysia,Dry,8,2020,0.255,0.81,1.0,wssv,simulated,,,,
21.34,34.52,8.37,7.18,4.294,449.8,180.48,4663.2,4.22,1,1,0,104,India,Wet,6,2020,0.572,1.0,1.0,wssv,simulated,,,,
22.78,25.81,7.8,8.13,0.537,306.04,69.67,690.0,27.3,0,0,0,111,China,Wet,6,2021,0.172,0.3,0.0,wssv,simulated,,,,
28.5,19.43,6.89,6.19,4.612,67.19,76.16,4628.83,24.58,1,1,0,96,China,Wet,4,2020,0.562,1.0,1.0,wssv,simulated,,,,
30.24,9.4,7.38,7.65,0.814,336.72,143.57,2671.31,19.55,0,0,1,165,Philippines,Wet,4,2021,0.189,0.9,1.0,wssv,simulated,,,,
32.86,20.63,6.93,4.89,2.621,478.15,63.4,3071.33,25.7,1,0,0,100,India,Dry,11,2021,0.557,1.0,1.0,wssv,simulated,,,,
33.55,16.42,8.41,3.12,1.5,196.5,185.03,508.52,6.67,1,0,0,155,Thailand,Dry,5,2023,0.548,1.0,1.0,wssv,simulated,,,,
20.92,30.8,8.32,8.44,3.565,350.42,174.01,3750.29,17.98,1,0,1,37,Vietnam,Wet,8,2023,0.522,1.0,1.0,wssv,simulated,,,,
34.28,10.29,6.63,3.36,1.646,171.56,109.58,2258.96,26.62,0,0,0,165,Philippines,Wet,5,2020,0.549,1.0,1.0,wssv,simulated,,,,
21.01,8.04,8.53,9.55,2.417,484.97,167.43,3811.67,28.93,1,0,1,107,Malaysia,Wet,1,2020,0.455,1.0,1.0,wssv,simulated,,,,
24.04,34.9,6.76,5.49,2.828,291.85,191.18,3465.52,13.69,1,1,1,138,Philippines,Wet,3,2020,0.588,1.0,1.0,wssv,simulated,,,,
21.22,16.52,8.39,2.26,0.061,451.47,175.8,2267.62,25.91,0,0,0,147,Thailand,Dry,2,2021,0.413,0.75,1.0,wssv,simulated,,,,
22.8,31.42,8.28,6.67,1.317,39.07,181.49,556.3,28.09,0,1,1,175,Malaysia,Wet,7,2021,0.387,0.68,1.0,wssv,simulated,,,,
30.99,26.88,8.5,6.79,4.95,204.75,102.4,4778.97,5.44,1,0,1,165,Indonesia,Dry,2,2023,0.607,1.0,1.0,wssv,simulated,,,,
33.57,3.76,8.07,7.7,0.378,144.75,89.14,757.43,27.81,1,1,0,102,Vietnam,Dry,4,2023,0.214,0.91,1.0,wssv,simulated,,,,
25.21,21.84,7.57,6.88,0.373,465.87,56.88,3724.48,13.16,1,1,0,107,Malaysia,Wet,12,2020,0.157,1.0,1.0,wssv,simulated,,,,
31.89,29.0,8.27,9.66,4.728,220.38,40.42,3894.64,28.76,1,1,1,126,India,Dry,5,2019,0.473,0.98,1.0,wssv,simulated,,,,
30.53,26.23,8.09,8.45,1.73,76.79,184.59,4833.5,1.13,0,1,0,135,Philippines,Dry,8,2022,0.342,0.78,0.0,wssv,simulated,,,,
24.6,7.79,7.85,6.33,2.683,290.76,128.09,241.9,24.54,1,0,0,160,Malaysia,Dry,6,2018,0.479,0.92,1.0,wssv,simulated,,,,
24.06,21.49,6.54,8.27,1.741,299.64,58.61,1132.54,6.46,0,0,1,40,Vietnam,Dry,4,2022,0.411,0.58,0.0,wssv,simulated,,,,
20.25,4.33,8.55,8.12,1.091,189.29,112.49,4285.72,23.42,0,1,0,149,Philippines,Wet,8,2021,0.359,0.63,1.0,wssv,simulated,,,,
32.25,24.63,8.75,8.29,0.199,408.26,59.62,3711.03,29.46,1,0,0,172,India,Wet,6,2020,0.287,1.0,1.0,wssv,simulated,,,,
30.13,13.5,7.04,2.0,0.029,490.13,42.85,4335.07,7.23,1,1,0,92,Vietnam,Wet,9,2021,0.347,1.0,1.0,wssv,simulated,,,,
34.35,12.44,7.33,6.99,2.368,240.08,24.79,4522.05,12.12,0,1,0,33,India,Wet,1,2023,0.392,0.67,1.0,wssv,simulated,,,,
31.27,13.9,8.58,4.44,2.396,414.98,95.61,1561.58,14.74,0,0,1,87,Vietnam,Wet,10,2020,0.632,1.0,1.0,wssv,simulated,,,,
30.01,25.51,7.24,7.64,3.5,101.13,81.85,1568.55,20.53,0,1,1,73,Philippines,Dry,6,2019,0.455,0.77,1.0,wssv,simulated,,,,
29.34,24.97,6.03,3.52,1.195,384.05,122.41,2737.66,21.01,1,0,0,76,China,Wet,11,2023,0.594,1.0,1.0,wssv,simulated,,,,
21.3,5.59,7.61,8.09,2.548,324.56,193.19,374.98,28.35,0,1,0,45,Philippines,Dry,7,2021,0.365,0.42,0.0,wssv,simulated,,,,
23.84,33.22,6.17,3.83,3.061,236.44,144.47,1974.35,6.41,1,0,0,102,Vietnam,Wet,8,2018,0.761,1.0,1.0,wssv,simulated,,,,
21.94,10.21,8.43,9.03,4.779,307.07,57.69,4103.64,18.98,1,0,1,81,China,Wet,3,2018,0.521,1.0,1.0,wssv,simulated,,,,
22.45,30.8,6.16,7.55,4.378,339.56,10.73,2461.79,29.68,1,0,1,170,Philippines,Wet,9,2023,0.638,0.93,0.0,wssv,simulated,,,,
30.64,11.21,8.43,6.34,1.652,202.56,184.74,4383.14,7.01,1,1,0,50,Vietnam,Dry,4,2022,0.461,1.0,1.0,wssv,simulated,,,,
29.06,28.5,8.6,5.66,3.314,488.21,135.06,1037.57,20.36,0,1,1,175,India,Dry,11,2022,0.661,0.83,0.0,wssv,simulated,,,,
20.57,21.63,6.16,8.86,1.871,411.51,40.24,2374.82,29.39,1,0,1,67,Malaysia,Wet,2,2018,0.469,1.0,1.0,wssv,simulated,,,,
22.12,24.9,8.72,2.78,4.657,494.77,88.46,3197.79,14.73,0,1,0,72,Indonesia,Wet,12,2022,0.777,0.92,1.0,wssv,simulated,,,,
31.98,10.1,8.93,7.23,4.772,334.02,142.84,1819.56,15.47,1,0,0,106,Thailand,Dry,7,2022,0.664,1.0,1.0,wssv,simulated,,,,
21.26,28.66,8.9,3.5,0.95,286.33,43.42,3773.78,25.82,1,0,1,71,China,Wet,8,2020,0.556,0.9,1.0,wssv,simulated,,,,
34.41,29.47,7.39,9.77,3.224,478.95,185.44,826.19,29.98,0,1,0,151,Malaysia,Wet,12,2020,0.359,0.72,1.0,wssv,simulated,,,,
26.09,1.7,7.52,7.5,2.336,345.82,107.13,1619.02,28.33,0,1,0,46,Malaysia,Wet,2,2020,0.346,0.87,1.0,wssv,simulated,,,,
