water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,wssv_outbreak,disease_type,data_source
29.59,0.88,6.83,3.79,3.682,338.35,179.51,526.0,12.66,0,0,0,89,Philippines,Dry,4,2022,0.652,0.97,1,wssv,simulated
30.52,14.68,7.35,4.23,4.347,379.4,40.34,2170.81,8.34,0,1,0,53,India,Dry,6,2020,0.551,0.67,1,wssv,simulated
32.11,25.54,7.61,9.78,1.893,276.02,167.59,3130.75,25.85,0,0,0,88,China,Wet,4,2018,0.236,0.82,0,wssv,simulated
25.7,15.87,8.5,3.3,1.776,335.09,143.35,3449.38,2.14,0,0,0,148,India,Wet,12,2023,0.587,1.0,1,wssv,simulated
30.27,29.5,8.33,3.83,0.161,157.73,60.87,1133.82,28.29,1,0,1,131,Malaysia,Wet,5,2019,0.362,1.0,1,wssv,simulated
31.17,18.86,8.24,5.43,2.918,181.0,199.49,777.83,14.81,0,0,0,70,China,Wet,2,2022,0.6,1.0,1,wssv,simulated
28.94,16.38,6.75,6.43,4.712,340.14,31.76,4435.46,22.53,1,0,1,141,Vietnam,Wet,12,2018,0.577,1.0,1,wssv,simulated
23.95,17.52,6.54,9.3,4.353,149.22,131.4,3083.95,4.59,0,0,1,155,Thailand,Dry,5,2020,0.517,0.83,1,wssv,simulated
23.61,19.86,6.24,7.86,4.08,488.99,111.21,716.23,19.79,0,1,1,84,Philippines,Dry,5,2023,0.615,0.73,1,wssv,simulated
30.08,13.07,8.7,5.61,1.24,32.01,14.0,2814.22,17.65,0,0,0,88,Thailand,Dry,2,2020,0.484,0.83,1,wssv,simulated
24.18,16.99,7.62,7.79,4.412,288.11,56.17,2417.57,12.21,0,0,1,120,India,Wet,12,2021,0.427,0.67,1,wssv,simulated
29.8,22.62,6.18,7.83,4.003,54.63,46.4,2727.8,4.21,0,1,1,93,China,Dry,9,2021,0.626,0.78,1,wssv,simulated
29.78,18.92,6.04,2.75,3.768,118.19,87.22,2458.66,25.94,0,0,1,30,India,Wet,5,2021,0.818,1.0,1,wssv,simulated
34.36,34.84,7.67,7.75,0.774,148.35,194.05,2937.98,16.27,1,0,0,179,India,Dry,9,2018,0.189,0.95,1,wssv,simulated
22.79,20.83,8.03,3.88,0.599,445.14,56.78,3013.14,18.58,1,1,1,82,Malaysia,Wet,5,2019,0.359,1.0,1,wssv,simulated
30.08,10.5,6.95,8.01,0.363,229.14,199.71,4980.87,2.2,0,1,0,119,Thailand,Dry,5,2020,0.198,0.86,1,wssv,simulated
32.51,24.62,7.84,9.9,3.27,3.91,165.25,1566.96,19.9,0,1,0,57,Malaysia,Dry,5,2020,0.393,0.77,1,wssv,simulated
30.76,7.13,7.9,4.11,2.443,452.67,170.76,552.26,12.71,1,0,0,115,China,Dry,5,2023,0.534,1.0,1,wssv,simulated
26.63,24.7,7.68,2.89,4.725,345.51,38.32,276.54,11.08,0,1,0,40,Indonesia,Wet,6,2018,0.6,0.91,1,wssv,simulated
23.74,3.6,8.34,9.07,2.032,310.33,39.37,4656.42,25.94,0,1,0,75,Malaysia,Wet,11,2021,0.397,0.38,0,wssv,simulated
32.16,9.34,8.36,2.86,4.361,429.3,52.26,4101.27,13.81,1,0,0,36,Malaysia,Dry,6,2021,0.715,0.97,1,wssv,simulated
21.04,27.07,7.05,6.08,3.398,421.83,72.92,235.24,26.31,1,0,1,39,Thailand,Wet,12,2020,0.539,0.87,1,wssv,simulated
26.55,34.45,6.35,9.2,0.95,22.19,92.85,2647.61,24.2,0,1,1,47,Malaysia,Wet,6,2022,0.324,0.86,1,wssv,simulated
21.87,31.5,7.52,7.34,1.631,348.6,115.34,1040.02,19.95,1,0,1,133,Philippines,Dry,5,2020,0.273,0.97,1,wssv,simulated
31.79,21.23,6.97,5.53,3.378,255.59,160.81,4803.18,22.08,0,1,1,53,China,Dry,5,2023,0.571,1.0,1,wssv,simulated
22.99,0.85,6.73,5.8,4.249,36.41,88.74,3185.85,5.83,1,1,1,92,Vietnam,Dry,7,2018,0.602,0.93,1,wssv,simulated
32.06,24.36,7.39,6.46,4.587,60.68,35.33,2376.75,15.93,1,1,1,170,India,Dry,8,2023,0.47,0.97,1,wssv,simulated
31.28,29.4,6.83,8.22,2.423,119.62,93.58,3596.37,7.03,1,1,0,65,Vietnam,Dry,12,2021,0.44,1.0,1,wssv,simulated
23.21,14.52,6.99,5.73,0.311,416.45,84.0,3872.0,28.38,0,1,1,31,Indonesia,Wet,7,2021,0.262,0.76,1,wssv,simulated
31.02,28.0,8.69,5.91,1.365,242.82,83.88,3377.48,23.94,0,1,0,166,Thailand,Wet,10,2022,0.486,0.93,1,wssv,simulated
21.26,15.0,8.6,3.45,1.301,163.68,96.39,1753.75,26.39,1,1,1,50,India,Dry,9,2023,0.546,1.0,1,wssv,simulated
34.28,7.85,6.21,9.66,0.201,15.51,56.98,4212.22,18.64,0,0,1,59,Philippines,Dry,12,2021,0.249,0.41,1,wssv,simulated
25.53,21.21,8.89,7.75,3.889,81.88,69.1,2935.56,27.87,1,1,0,49,Philippines,Dry,12,2018,0.64,1.0,1,wssv,simulated
32.75,21.01,6.36,9.87,3.913,173.6,91.39,1915.8,15.18,1,0,1,155,Thailand,Wet,11,2020,0.528,1.0,1,wssv,simulated
26.9,5.35,6.53,6.17,3.252,307.96,184.73,3895.74,13.95,1,1,0,52,Indonesia,Wet,8,2019,0.623,1.0,1,wssv,simulated
30.02,11.77,7.48,4.6,2.438,177.41,59.09,1470.33,17.88,1,0,0,51,Vietnam,Wet,9,2021,0.454,1.0,1,wssv,simulated
30.36,22.61,7.47,8.34,0.465,110.8,141.44,1600.41,17.45,1,1,1,170,Indonesia,Wet,8,2023,0.112,1.0,1,wssv,simulated
23.77,4.22,6.58,2.96,2.679,381.09,45.18,1160.28,14.53,1,0,0,105,Vietnam,Wet,5,2019,0.686,0.97,1,wssv,simulated
28.01,9.6,8.92,6.43,3.487,63.14,175.01,2505.31,26.18,1,1,1,142,Indonesia,Dry,5,2018,0.689,1.0,1,wssv,simulated
27.17,28.77,7.2,2.59,3.147,26.8,38.35,2857.91,9.12,0,0,1,87,China,Wet,8,2021,0.63,0.86,1,wssv,simulated
28.83,15.01,7.71,2.48,4.801,49.62,154.92,3165.02,7.94,0,0,0,74,Philippines,Dry,1,2019,0.619,1.0,1,wssv,simulated
30.34,16.45,6.1,4.3,1.414,429.8,23.52,1243.78,7.94,0,1,0,169,Vietnam,Dry,3,2020,0.58,0.73,1,wssv,simulated
22.49,10.77,8.25,6.55,1.443,62.18,140.85,3528.7,28.28,1,1,0,40,India,Wet,5,2022,0.4,1.0,1,wssv,simulated
23.43,23.6,8.58,6.7,0.104,382.38,166.07,2923.61,22.89,0,1,1,101,Vietnam,Wet,8,2023,0.302,0.76,0,wssv,simulated
27.05,14.29,6.96,2.84,0.804,205.82,104.14,3346.66,12.01,0,1,0,110,Indonesia,Wet,7,2018,0.418,1.0,1,wssv,simulated
32.37,0.04,8.61,5.7,0.271,259.22,128.3,2542.62,13.26,0,0,1,170,Vietnam,Wet,12,2021,0.358,0.81,1,wssv,simulated
20.43,22.05,8.4,7.68,1.554,6.84,87.52,1201.03,25.24,0,1,0,69,India,Wet,12,2022,0.4,0.83,1,wssv,simulated
32.52,34.31,6.73,6.41,1.918,460.93,106.57,4408.7,25.92,1,1,1,159,Indonesia,Dry,12,2020,0.461,1.0,1,wssv,simulated
28.8,34.96,7.47,3.19,2.693,172.56,114.86,2762.81,13.66,1,0,0,176,India,Dry,1,2021,0.531,1.0,1,wssv,simulated
27.09,31.97,7.14,9.91,3.962,326.01,38.9,4827.64,3.79,1,0,1,55,Philippines,Wet,12,2018,0.396,1.0,1,wssv,simulated
33.06,33.95,6.22,8.25,1.325,311.63,85.52,493.55,9.86,1,1,1,168,Thailand,Dry,11,2019,0.419,1.0,1,wssv,simulated
24.31,7.96,6.27,9.83,3.802,351.95,29.1,915.19,8.98,0,0,1,44,Indonesia,Wet,7,2020,0.544,0.53,1,wssv,simulated
27.97,19.81,8.38,3.36,0.395,435.42,127.74,1280.07,27.38,0,0,1,95,India,Wet,1,2023,0.412,1.0,1,wssv,simulated
26.98,10.07,7.64,2.59,4.726,493.83,66.84,4813.94,20.71,1,1,0,128,China,Wet,4,2018,0.604,1.0,1,wssv,simulated
25.38,10.36,8.1,2.18,4.15,197.9,11.54,4338.83,23.35,0,1,1,88,Philippines,Wet,11,2019,0.694,1.0,1,wssv,simulated
23.76,26.45,8.3,7.45,0.684,48.58,129.22,293.17,23.66,0,1,0,53,Indonesia,Wet,7,2023,0.294,0.51,1,wssv,simulated
21.98,18.88,8.91,6.25,4.567,415.24,58.82,4140.98,14.46,1,1,0,149,Thailand,Dry,11,2019,0.693,0.83,1,wssv,simulated
34.7,33.85,8.41,4.93,3.953,6.96,111.95,2328.45,20.18,1,1,1,57,Malaysia,Dry,1,2021,0.654,1.0,1,wssv,simulated
34.15,11.48,7.83,7.18,3.177,232.13,143.2,3281.27,3.5,0,0,1,156,Thailand,Dry,9,2019,0.482,0.92,1,wssv,simulated
26.8,23.47,8.23,9.57,2.096,371.13,39.36,2132.93,2.97,1,1,1,38,Malaysia,Wet,8,2019,0.369,1.0,1,wssv,simulated
23.54,12.69,8.94,4.94,4.508,322.41,21.5,1451.82,29.05,1,0,0,35,Thailand,Wet,3,2019,0.742,1.0,1,wssv,simulated
23.08,29.04,7.66,6.69,4.065,116.5,157.13,3964.35,17.88,1,0,0,168,Indonesia,Dry,11,2018,0.47,0.92,1,wssv,simulated
21.98,12.54,8.37,6.71,0.079,132.68,34.08,2162.71,3.41,0,1,1,122,Philippines,Dry,9,2021,0.263,0.36,1,wssv,simulated
29.23,25.45,8.73,7.27,1.508,321.67,15.92,4993.08,25.42,1,0,1,143,Thailand,Dry,10,2020,0.464,1.0,1,wssv,simulated
21.89,21.85,7.76,7.7,1.905,298.7,66.03,2577.2,12.91,0,0,1,145,Vietnam,Wet,8,2020,0.332,0.67,1,wssv,simulated
30.94,10.94,6.94,4.04,4.768,343.41,100.11,547.0,2.56,1,0,1,63,Philippines,Dry,9,2022,0.625,1.0,1,wssv,simulated
30.05,14.38,8.62,9.53,2.115,457.92,19.77,1509.38,9.37,0,0,0,153,Vietnam,Dry,9,2020,0.437,0.83,1,wssv,simulated
31.44,20.09,8.42,8.76,4.873,409.21,126.58,3249.23,0.79,1,0,0,99,Malaysia,Wet,6,2020,0.528,1.0,1,wssv,simulated
33.05,19.82,7.2,3.13,3.166,15.33,151.76,1154.15,12.59,1,0,1,109,Malaysia,Wet,10,2022,0.612,1.0,1,wssv,simulated
20.79,5.51,7.85,7.39,1.361,330.97,102.28,2266.02,8.2,0,1,1,58,Indonesia,Wet,11,2022,0.297,0.62,1,wssv,simulated
23.31,34.46,6.16,3.64,4.727,383.67,155.19,1518.29,3.6,1,1,0,63,India,Dry,9,2022,0.769,0.97,1,wssv,simulated
32.09,2.52,8.59,2.34,0.094,460.58,173.8,2921.22,17.2,1,1,0,133,Thailand,Wet,10,2019,0.447,1.0,1,wssv,simulated
30.34,12.66,7.31,2.85,2.178,200.22,24.94,4365.57,22.37,0,1,0,49,Philippines,Dry,9,2022,0.512,0.76,1,wssv,simulated
31.64,12.29,8.87,7.16,0.738,51.4,58.63,950.15,4.59,0,0,1,148,China,Wet,10,2023,0.405,0.91,1,wssv,simulated
34.8,11.31,8.91,4.53,2.199,234.46,129.96,4002.02,17.74,1,0,1,148,India,Dry,6,2018,0.662,1.0,1,wssv,simulated
21.15,30.25,8.57,6.92,2.535,231.36,115.32,3979.91,26.88,1,0,1,151,Philippines,Dry,8,2018,0.563,1.0,1,wssv,simulated
33.49,12.02,8.14,6.04,0.863,123.87,93.17,2253.17,15.68,0,1,1,102,India,Wet,11,2020,0.335,0.91,1,wssv,simulated
31.84,22.66,6.2,2.76,3.392,142.07,147.51,3317.16,27.19,0,1,0,179,Malaysia,Dry,5,2020,0.791,1.0,1,wssv,simulated
