water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,yhv_outbreak,disease_type,data_source
32.85,32.15,7.75,7.93,1.203,109.51,156.46,2292.33,10.03,0,0,1,125,Thailand,Dry,8,2021,0.244,0.89,1,yhv,simulated
25.86,21.41,8.01,2.53,4.13,252.86,125.31,456.21,28.4,0,0,0,141,Vietnam,Dry,9,2021,0.667,0.965,1,yhv,simulated
23.0,22.33,6.59,6.73,1.911,116.64,11.54,4288.25,7.96,1,0,1,125,Malaysia,Wet,8,2019,0.473,1.0,1,yhv,simulated
22.51,17.47,6.48,4.0,4.587,431.1,40.29,3927.08,13.72,0,1,1,104,India,Dry,3,2023,0.703,0.46,1,yhv,simulated
20.11,0.96,7.89,8.58,2.107,28.39,189.37,1034.04,25.58,0,0,0,49,India,Wet,1,2020,0.346,0.79,1,yhv,simulated
31.96,18.51,6.14,7.09,3.423,228.49,27.19,515.42,25.54,1,1,1,68,Indonesia,Dry,5,2019,0.657,1.0,1,yhv,simulated
26.63,8.59,6.06,4.03,0.555,484.93,32.35,763.38,8.42,0,1,1,133,Malaysia,Wet,2,2021,0.501,0.57,0,yhv,simulated
26.29,7.19,6.99,6.69,2.027,453.14,74.04,2050.46,4.95,1,0,1,54,Vietnam,Dry,6,2021,0.421,0.96,1,yhv,simulated
26.64,28.7,7.86,6.86,1.759,442.9,136.85,331.87,29.3,0,1,0,132,India,Wet,11,2020,0.36,0.94,1,yhv,simulated
31.49,6.76,8.98,4.81,0.353,357.66,87.0,2804.19,27.13,1,0,1,62,India,Wet,1,2019,0.459,1.0,1,yhv,simulated
24.79,9.49,7.26,7.43,3.014,130.02,76.33,3320.08,11.61,0,0,1,50,Vietnam,Dry,2,2018,0.459,0.29,0,yhv,simulated
30.78,30.89,7.15,3.89,0.372,167.26,72.76,728.86,23.16,0,0,1,100,Vietnam,Dry,7,2018,0.303,0.505,1,yhv,simulated
32.74,14.99,8.57,2.04,4.097,44.12,78.68,2358.66,5.31,1,1,0,169,India,Wet,9,2023,0.777,1.0,1,yhv,simulated
31.05,30.27,8.21,8.69,4.046,346.3,192.49,833.4,19.33,1,0,0,93,Thailand,Wet,2,2019,0.495,1.0,1,yhv,simulated
25.75,7.73,7.87,3.84,0.388,487.87,72.5,2086.84,1.6,0,1,1,119,India,Dry,6,2023,0.31,0.155,0,yhv,simulated
34.97,21.61,7.89,7.99,0.371,231.01,13.58,1499.95,27.04,1,0,1,126,Indonesia,Wet,11,2019,0.173,1.0,1,yhv,simulated
23.27,23.5,6.89,3.45,4.051,478.51,108.37,4173.12,22.07,0,1,0,34,Malaysia,Dry,5,2018,0.653,0.865,1,yhv,simulated
