feature,importance
feature_0,0.018474229
feature_1,0.03476407
feature_2,0.031126311
feature_3,0.017397106
feature_4,0.03833062
feature_5,0.039769046
feature_6,0.056133416
feature_7,0.02667645
feature_8,0.043690395
feature_9,0.039344277
feature_10,0.0
feature_11,0.0
feature_12,0.049872678
feature_13,0.0
feature_14,0.045360226
feature_15,0.030374974
feature_16,0.31656796
feature_17,0.036345944
feature_18,0.052559566
feature_19,0.02630872
feature_20,0.030625831
feature_21,0.0
feature_22,0.0
feature_23,0.0
feature_24,0.0483343
feature_25,0.0
feature_26,0.017943855
feature_27,0.0
feature_28,0.0
feature_29,0.0
feature_30,0.0
