feature,importance
feature_0,0.049973898
feature_1,0.035860218
feature_2,0.05025389
feature_3,0.030569455
feature_4,0.033820484
feature_5,0.04249539
feature_6,0.046369478
feature_7,0.014898473
feature_8,0.033550076
feature_9,0.025740389
feature_10,0.047000237
feature_11,0.0
feature_12,0.038817152
feature_13,0.04141583
feature_14,0.043081883
feature_15,0.032570887
feature_16,0.27677765
feature_17,0.045172293
feature_18,0.054158293
feature_19,0.016415328
feature_20,0.0
feature_21,0.0024997767
feature_22,0.03855897
feature_23,0.0
feature_24,0.0
feature_25,0.0
feature_26,0.0
feature_27,0.0
feature_28,0.0
feature_29,0.0
feature_30,0.0
