feature,importance
outbreak_probability,2.4837494515118363
water_temperature,0.0
ph,0.0
salinity,0.0
ammonia,0.0
rainfall,0.0
stocking_density,0.0
pond_size,0.0
water_exchange_rate,0.0
wssv_history,0.0
probiotics_used,0.0
dissolved_oxygen,0.0
antibiotics_used,0.0
culture_duration,0.0
year,0.0
month,0.0
temp_salinity_interaction,0.0
water_quality_index,0.0
farm_risk_score,0.0
month_sin,0.0
month_cos,0.0
country_India,0.0
country_Indonesia,0.0
country_Philippines,0.0
country_Thailand,0.0
country_Vietnam,0.0
season_Dry,0.0
season_Wet,0.0
