feature,importance
outbreak_probability,0.5270491781962858
water_temperature,0.16128781494456135
temp_salinity_interaction,0.035206745228690474
salinity,0.026222926342169627
farm_risk_score,0.02323892936532014
stocking_density,0.022511442953229006
water_exchange_rate,0.021169047887432638
pond_size,0.018839712437481868
dissolved_oxygen,0.017604956770389205
culture_duration,0.01536738802594456
water_quality_index,0.014558797695521316
rainfall,0.013916642211659083
month_sin,0.013683079600637093
ph,0.01318955106762122
ammonia,0.012759059936927712
month,0.012705739179133507
year,0.012613166796835768
month_cos,0.010278483944473855
country_Vietnam,0.006678526713489969
country_Indonesia,0.004728915680098462
season_Dry,0.0032588970226972978
antibiotics_used,0.0025206110557537604
country_Philippines,0.0022982541852482196
probiotics_used,0.0022863997157850364
country_Thailand,0.0022116767272478844
season_Wet,0.0018861825095376984
wssv_history,0.0011099513476741493
country_India,0.0008179224581533787
