feature,importance
feature_0,0.041537955
feature_1,0.03086831
feature_2,0.029722799
feature_3,0.017916774
feature_4,0.0325774
feature_5,0.02259225
feature_6,0.021641847
feature_7,0.03455489
feature_8,0.026923202
feature_9,0.0
feature_10,0.029932493
feature_11,0.047094654
feature_12,0.022496726
feature_13,0.030307757
feature_14,0.060269527
feature_15,0.039381757
feature_16,0.20778689
feature_17,0.03741595
feature_18,0.026712751
feature_19,0.01792129
feature_20,0.020698017
feature_21,0.035774957
feature_22,0.0195983
feature_23,0.036865477
feature_24,0.03658185
feature_25,0.0
feature_26,0.032213815
feature_27,0.0406123
feature_28,0.0
feature_29,0.0
feature_30,0.0
