feature,importance
outbreak_probability,0.5649173
water_temperature,0.11342202
month,0.040431544
temp_salinity_interaction,0.036172643
country_Indonesia,0.025112724
year,0.0249372
salinity,0.021357905
culture_duration,0.021316187
stocking_density,0.020451438
ammonia,0.019394463
water_quality_index,0.01715266
wssv_history,0.015414835
farm_risk_score,0.014938148
ph,0.014310872
water_exchange_rate,0.012676372
pond_size,0.011694316
month_cos,0.011066268
dissolved_oxygen,0.009595357
rainfall,0.0056376783
probiotics_used,0.0
antibiotics_used,0.0
month_sin,0.0
country_India,0.0
country_Philippines,0.0
country_Thailand,0.0
country_Vietnam,0.0
season_Dry,0.0
season_Wet,0.0
